Episode,TotalReward,SuccessCount,Collisions
419,-15356.10645,0,7459
420,-15581.41797,0,7968
421,-16334.15918,0,8425
422,-5132.10791,86,6618
423,-6847.291504,100,8231
424,-6314.39502,97,7365
425,-15256.24902,0,8289
426,-15104.54492,0,7851
427,-6897.71875,93,7199
428,-14585.0332,0,7569
429,-5375.243164,91,7161
430,-4621.663086,100,7939
431,-14643.91211,0,7734
432,-4831.493652,99,7093
433,-5764.449219,100,7395
434,-5736.711426,100,7855
435,-16005.8916,0,7994
436,-4337.501953,100,7911
437,-6581.628418,96,8286
438,-6609.663574,100,7722
439,-5570.79834,100,7500
440,-5784.029785,100,7309
441,-15528.00098,0,7342
442,-5354.630371,99,7857
443,-15982.28809,0,7628
444,-6800.905273,90,7036
445,-16559.82813,0,7515
446,-6212.775391,98,7716
447,-14094.74316,0,7580
448,-6637.12793,95,7673
449,-16477.12109,0,7816
450,-6926.113281,100,7878
451,-6854.947754,97,7948
452,-5281.944336,100,7446
453,-16347.99805,0,7935
454,-14044.5332,0,7840
455,-4223.979492,100,7060
456,-7552.015625,100,7961
457,3062.024414,200,7532
458,5461.039551,200,7703
459,-15392.53613,0,7595
460,-6390.005859,98,7756
461,-4816.571289,99,7257
462,-6839.541992,100,7343
463,-4959.571777,100,6724
464,-14402.25586,0,7172
465,-15964.66797,0,8139
466,-14001.43848,0,7707
467,-15686.78223,0,8639
468,-16281.16992,0,8034
469,5067.750488,200,7420
470,-16074.47559,0,7669
471,-5989.887695,98,7693
472,-5107.126953,100,7392
473,-6662.516602,97,7858
474,-14487.50586,0,6988
475,-5581.390137,99,7637
476,-14979.06934,0,7250
477,-5169.236328,98,7543
478,-15879.52148,0,7591
479,-14671.98535,0,7294
480,-6034.01123,92,7674
481,-15647.99121,0,7011
482,-4986.351074,100,7719
483,-14793.20801,0,7249
484,-5934.097656,97,7709
485,-5687.934082,100,7473
486,-6959.216797,95,8000
487,-6312.887207,99,7398
488,-4845.544922,98,7662
489,-16397.29492,0,7797
490,-6885.803223,96,7395
491,-6119.927734,97,7204
492,-5434.095703,100,7949
493,-7823.460938,79,7040
494,-15960.84668,0,7593
495,-14159.7168,0,7473
496,-7932.724121,85,8483
497,-14778.75879,0,7492
498,-3137.979492,97,7070
499,-15705.30664,0,6979
